Team1Name,Team2Name,Map,Score,Winner,GameName,Format,Team1Bet,Team2Bet,DataSource,MatchID
A51,SKDC,Unavailable,Unavailable,A51,CS: GO,Best of 1,43%,57%,CSGOL,1098
Exertus,Savage,Unavailable,Unavailable,Exertus,CS: GO,Best of 1,78%,22%,CSGOL,1099
Savage,Cloud9,Unavailable,Unavailable,Cloud9,CS: GO,Best of 1,11%,89%,CSGOL,1100
Epsilon,Berzerk,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,84%,16%,CSGOL,1101
ESG!,Fnatic,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,34%,66%,CSGOL,1102
mTw,DE,Unavailable,Unavailable,mTw,CS: GO,Best of 1,81%,19%,CSGOL,1103
OverGaming,OB,Unavailable,Unavailable,OverGaming,CS: GO,Best of 1,78%,22%,CSGOL,1104
Berzerk,Titan,Unavailable,Unavailable,Titan,CS: GO,Best of 1,9%,91%,CSGOL,1105
Nostalgie,Titan,Unavailable,Unavailable,Titan,CS: GO,Best of 1,11%,89%,CSGOL,1106
LDLC,Titan,Unavailable,Unavailable,Titan,CS: GO,Best of 1,37%,63%,CSGOL,1107
TMP,Exertus,Unavailable,Unavailable,Exertus,CS: GO,Best of 1,17%,83%,CSGOL,1108
CW,IBP,Unavailable,Unavailable,IBP,CS: GO,Best of 3,25%,75%,CSGOL,1109
Na'Vi,IBP,Unavailable,Unavailable,IBP,CS: GO,Best of 3,54%,46%,CSGOL,1110
Exertus,MJ,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,81%,19%,CSGOL,1111
LDLC,Epsilon,Unavailable,Unavailable,Epsilon,CS: GO,Best of 1,65%,35%,CSGOL,1112
Reason,HR,Unavailable,Unavailable,HR,CS: GO,Best of 1,15%,85%,CSGOL,1113
Titan,VP,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,56%,44%,CSGOL,1114
NetCode,VEXX,Unavailable,Unavailable,NetCode,CS: GO,Best of 1,64%,36%,CSGOL,1115
HR,Na'Vi,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,44%,56%,CSGOL,1116
Dignitas,Fnatic,Unavailable,Unavailable,Fnatic,CS: GO,Best of 1,71%,29%,CSGOL,1117
Exertus,NetCode,Unavailable,Unavailable,Exertus,CS: GO,Best of 1,65%,35%,CSGOL,1118
VP,Titan,Unavailable,Unavailable,VP,CS: GO,Best of 1,55%,45%,CSGOL,1119
Na'Vi,LDLC,Unavailable,Unavailable,LDLC,CS: GO,Best of 1,60%,40%,CSGOL,1120
Reliable,Exertus,Unavailable,Unavailable,Exertus,CS: GO,Best of 1,21%,79%,CSGOL,1121
A51,NetCode,Unavailable,Unavailable,A51,CS: GO,Best of 1,36%,64%,CSGOL,1122
Exertus,Reliable,Unavailable,Unavailable,Exertus,CS: GO,Best of 1,84%,16%,CSGOL,1123
NetCode,Savage,Unavailable,Unavailable,NetCode,CS: GO,Best of 1,71%,29%,CSGOL,1124
NetCode,A51,Unavailable,Unavailable,NetCode,CS: GO,Best of 1,50%,50%,CSGOL,1125
Na'Vi,Titan,Unavailable,Unavailable,Titan,CS: GO,Best of 1,50%,50%,CSGOL,1126
OverGaming,LDLC,Unavailable,Unavailable,LDLC,CS: GO,Best of 1,19%,81%,CSGOL,1127
Titan,Na'Vi,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,62%,38%,CSGOL,1128
Epsilon,OB,Unavailable,Unavailable,Epsilon,CS: GO,Best of 1,89%,11%,CSGOL,1129
Fnatic,Na'Vi,Unavailable,Unavailable,Fnatic,CS: GO,Best of 1,68%,32%,CSGOL,1130
USSR,Unnamed,Unavailable,Unavailable,USSR,CS: GO,Best of 3,82%,18%,CSGOL,1131
OverGaming,Fnatic,Unavailable,Unavailable,Fnatic,CS: GO,Best of 1,12%,88%,CSGOL,1132
Dignitas,Epsilon,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,73%,27%,CSGOL,1133
ESG!,Berzerk,Unavailable,Unavailable,ESG!,CS: GO,Best of 1,90%,10%,CSGOL,1134
Berzerk,OverGaming,Unavailable,Unavailable,Berzerk,CS: GO,Best of 1,31%,69%,CSGOL,1135
ESC,OB,Unavailable,Unavailable,ESC,CS: GO,Best of 1,69%,31%,CSGOL,1136
Epsilon,ESC,Unavailable,Unavailable,ESC,CS: GO,Best of 1,89%,11%,CSGOL,1137
OverGaming,ESG!,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,19%,81%,CSGOL,1138
Epsilon,OverGaming,Unavailable,Unavailable,Epsilon,CS: GO,Best of 1,83%,17%,CSGOL,1139
dAT,TBDa,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,67%,33%,CSGOL,1140
Exertus,Lunatik,Unavailable,Unavailable,Lunatik,CS: GO,Best of 1,58%,42%,CSGOL,1141
MWNL,NetCode,Unavailable,Unavailable,NetCode,CS: GO,Best of 1,24%,76%,CSGOL,1142
LDLC,mouz,Unavailable,Unavailable,mouz,CS: GO,Best of 1,69%,31%,CSGOL,1143
OB,Fnatic,Unavailable,Unavailable,Fnatic,CS: GO,Best of 1,8%,92%,CSGOL,1144
Na'Vi,ESG!,Unavailable,Unavailable,Na'Vi,CS: GO,Best of 1,68%,32%,CSGOL,1145
ESC,Fnatic,Unavailable,Unavailable,Fnatic,CS: GO,Best of 1,13%,87%,CSGOL,1146
mouz,ESG!,Unavailable,Unavailable,mouz,CS: GO,Best of 1,68%,32%,CSGOL,1147
HR,mouz,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,63%,37%,CSGOL,1148
ESG!,Fnatic,Unavailable,Unavailable,Fnatic,CS: GO,Best of 1,14%,86%,CSGOL,1149
Belarus,Croatia,Unavailable,Unavailable,Unavailable,CS: GO,Best of 3,76%,24%,CSGOL,1150
Berzerk,OB,Unavailable,Unavailable,Berzerk,CS: GO,Best of 1,82%,18%,CSGOL,1151
Nostalgie,Berzerk,Unavailable,Unavailable,Berzerk,CS: GO,Best of 1,35%,65%,CSGOL,1152
OverGaming,ESC,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,43%,57%,CSGOL,1153
NetCode,TMP,Unavailable,Unavailable,NetCode,CS: GO,Best of 1,73%,27%,CSGOL,1154
A51,SKDC,Unavailable,Unavailable,Unavailable,CS: GO,Best of 1,57%,43%,CSGOL,1155
GlobalG,VEXX,Unavailable,Unavailable,GlobalG,CS: GO,Best of 1,42%,58%,CSGOL,1156
